Título
•
"Donde viven los monstruos (Maurice Sendak, 1963)"
•
Las aventuras de Alicia en el país de las maravillas
"(Lewis Carroll, 1865)"
•
"Pippi Calzaslargas (Astrid Lindgren, 1945)"
•
El principito
"(Antoine de Saint-Exupéry, 1943)"
•
"El hobbit (JRR Tolkien, 1937)"
•
"Luces del norte (Philip Pullman, 1995)"
•
"El león, la bruja y el armario (CS Lewis, 1950)"
•
"Winnie-the-Pooh (AA Milne y EH Shepard, 1926)"
•
"La telaraña de Charlotte (EB White y Garth Williams, 1952)"
•
"Matilda (Roald Dahl y Quentin Blake, 1988)"
•
"Ana de las Tejas Verdes (LM Montgomery, 1908)"
•
"Cuentos de hadas (Hans Christian Andersen, 1827)"
•
"Harry Potter y la piedra filosofal (JK Rowling, 1997)"
•
"La Pequeña Oruga Glotona (Eric Carle, 1969)"
•
"The Dark Is Rising (Susan Cooper, 1973)"
•
"Emigrantes (Shaun Tan, 2006)"
•
"Mujercitas (Louisa May Alcott, 1868)"
•
"Charlie y la fábrica de chocolate (Roald Dahl, 1964)"
•
"Heidi (Johanna Spyri, 1880)"
•
"Buenas noches, Luna (Margaret Wise Brown y Clement Hurd, 1947)"
•
"Las aventuras de Pinocho (Carlo Collodi, 1883)"
•
"Un mago de Terramar (Ursula K Le Guin, 1968)"
•
"La familia Mumin en invierno (Tove Jansson, 1957)"
•
"Yo quiero mi sombrero (Jon Klassen, 2011)"
•
"El jardín secreto (Frances Hodgson Burnett, 1911)"
•
"El pato, la muerte y el tulipán (Wolf Erlbruch, 2007)"
•
"Los hermanos Corazón de León (Astrid Lindgren, 1973)"
•
"Harry Potter y el prisionero de Azkaban (JK Rowling, 1999)"
•
"Niña morena sueña (Jacqueline Woodson, 2014)"
•
"Los tres bandidos (Tomi Ungerer, 1961)"
•
"Un día de nieve (Ezra Jack Keats, 1962)"
•
"El tigre que vino a tomar el té (Judith Kerr, 1968)"
•
"El castillo ambulante (Diana Wynne Jones , 1986)"
•
"Una arruga en el tiempo (Madeleine L’Engle, 1962)"
•
"La colina de Watership (Richard Adams, 1972)"
•
"El jardín de medianoche (Philippa Pearce, 1958)"
•
"Los cuentos de hadas de los hermanos Grimm (Hermanos Grimm, 1812)"
•
"La historia de Peter Rabbit (Beatrix Potter, 1902)"
•
"Los chicos del ferrocarril (Edith Nesbit, 1906)"
•
"Noughts & Crosses (Malorie Blackman, 2001)"
•
"El gran gigante bonachón (The BFG) (Roald Dahl y Quentin Blake, 1982)"
•
"Las reglas del verano (Shaun Tan, 2013)"
•
"Momo (Michael Ende, 1973)"
•
"El cuento de Ferdinando (Munro Leaf y Robert Lawson, 1936)"
•
"El señor de los anillos (JRR Tolkien, 1954)"
•
"The Owl Service (Alan Garner, 1967)"
•
"Ronia, la hija del bandolero (Astrid Lindgren, 1981)"
•
"La historia interminable (Michael Ende, 1979)"
•
"Panchatantra (Anónimo/folk, -200)"
•
"La isla del tesoro (Robert Louis Stevenson, 1883)"
•
"Mary Poppins (PL Travers, 1934)"
•
"Las zapatillas de ballet (Noel Streafield, 1936)"
•
"Mucho mucho (Trish Cooke y Helen Oxenbury, 1994)"
•
"Vamos a cazar un oso (Michael Rosen y Helen Oxenbury, 1989)"
•
"Las aventuras de Cebollino (Gianni Rodari, 1951)"
•
"El árbol generoso (Shel Silverstein, 1964)"
•
"El Grúfalo (Julia Donaldson y Axel Scheffler, 1999)"
•
"Sirenas (Jessica Love, 2018)"
•
"La llegada del cometa (Tove Jansson, 1946)"
•
"Finn Family Moomintroll (Tove Jansson, 1948)"
•
"Las brujas (Roald Dahl y Quentin Blake , 1983)"
•
"Un oso llamado Paddington (Michael Bond, 1958)"
•
"El viento en los sauces (Kenneth Grahame, 1908)"
•
"Lloro por la tierra (Mildred D Taylor, 1977)"
•
"Karlsson en el tejado (Astrid Lindgren, 1955)"
•
"La cabina mágica (Norton Juster y Jules Feiffer, 1961)"
•
"El gato en el sombrero (Dr. Seuss, 1957)"
•
"El prodigioso viaje de Edward Tulane (Kate DiCamillo y Bagram Ibatoulline, 2006)"
•
"Peter Pan y Wendy (JM Barrie , 1911)"
•
Las mil y una noches (Anónimo / folk)
•
"Los archivos secretos de la Sra. Basil E Frankweiler (EL Konigsburg, 1967)"
•
"Cuando Hitler robó el conejo rosa (Judith Kerr, 1971)"
•
"Shum bola (G’afur G’ulоm, 1936)"
•
"Ernesto y Celestina (Gabrielle Vincent, 1981)"
•
"Como una chispa (Elle McNicoll, 2020)"
•
"El pequeño Nicolás (René Goscinny y Jean-Jacques Sempé, 1959)"
•
"Belleza negra(Anna Sewell, 1877)"
•
"Papá Piernas Largas (Jean Webster, 1912)"
•
"Ningún beso para mamá (Tomi Ungerer, 1973)"
•
"Mi familia y otros animales (Gerald Durrell, 1956)"
•
"Amé a Jacob (Katherine Paterson , 1980)"
•
"El Lorax (Dr. Seuss, 1971)"
•
"Cuentos de hadas / Los cuentos de mamá ganso (Charles Perrault, 1697)"
•
"La gran inundación: Los Mumin (Tove Jansson, 1945)"
•
"El maravilloso mago de Oz (L Frank Baum, 1900)"
•
"Solo William (Richmal Crompton, 1922)"
•
"Los cretinos (Roald Dahl y Quentin Blake, 1980)"
•
"El ratón y su hijo (Russell Hoban, 1967)"
•
"Fuera de mi (Sharon M Draper, 2010)"
•
"Finales de noviembre: Los Mumin (Tove Jansson, 1970)"
•
"La casa del bosque (Laura Ingalls Wilder, 1932)"
•
"Danny, el campeón del mundo (Roald Dahl, 1975)"
•
"El muñeco de nieve (Raymond Briggs, 1978)"
•
"La ola (Suzy Lee, 2008)"
•
"Los hermanos negros (Lisa Tetzner, 1940)"
•
"El conejo de pana (Margery Williams, 1921)"
•
"Un mal principio (Lemony Snicket, 1999)"
•
"El libro del cementerio (Neil Gaiman, 2008)"
•
"American Born Chinese (Gene Luen Yang y Lark Pien, 2006)"
•
"Harún y el mar de las historias (Salman Rushdie, 1990)"
