Háblame del sol
El pavo real
Un cumpleaños especial
Crok
"Sam, la superdetective"
¿Dónde están mis dibujos?
Caos en el súper
Papá no quiere ser pingüino
Caos en la boda
Grillo Pepinillo
Papá se casó con una bruja
"¿Dðnde estÆs, gusanito?"
El cumpleaños de Mini
El gigante en el bolsillo
Tomás es distinto a los demás
La gota de lluvia
Bigote  blanco-Bigote negro
Álvaro a su aire
Las aventuras de la brujita Witchy Witch
Los dientes del león
Caos en Carnaval
¡Cumpleaños féliz!
La brujita Witchy Witch y su dragón
Un dragón en el tazón
"Gato, su bruja y el monstruo"
El parasubidas
Cleopatra y el ratón Pérez
La obra maestra de Cedric
El señor Navidad
El mejor amigo del perro
¡Quiero a mi mamá!
¿Dónde está  Alba?
La princesa aburrida
Picopelosplumas y el hombre pájaro
"Chusco, un perro callejero"
Crisol y su estrella
¡Yo soy el mayor!
Los tres cerditos y el lobo
El flautista de Hamelín
El enano Saltarín
Blancanieves y los siete enanitos
Kika embruja los deberes
El cumple de Dani
El vampiro del diente flojo
El caballero loco
El dinosaurio salvaje
El partido de fútbol embrujado
El alcalde de Hamelin
La Cenicienta
La Bella Durmiente
Ratón de campo y ratón de ciudad
El patito feo
El hechizo fantasma
El partido de fútbol embrujado
La gran aventura de Colón
"Ideas mágicas para manualidades, juegos y regalos."
Kika superbruja detective
Kika superbruja  los piratas
Kika superbruja y los indios
Kika revoluciona la clase
Loca por el fútbol
Y la magia del circo
Kika superbruja y la momia
Kika superbruja y la ciudad sumergida
Kika superbruja y la espada mágica
Kika superbruja en el castillo de Drácula
Kika Superbruja en busca del tesoro
Kika superbruja y Don Quijote de la Mancha
kika y Don Quijote de la Mancha
Kika y Don Quijote de la Mancha
Kika superbruja y el hechizo de la Navidad
Kika y los vikingos
Kika y los vikingos
Kika y los dinosauros
kika y los dinosaurios
Trouble at school
Kika at vampire castle
Astérix y los Juegos Olimpicos
La residencia de los dioses
Astérix en Helvecia
Astérix en Hispania
Astérix y Latraviata
Astérix y lo nunca visto
Obelix y compañia
El hijo de Asterix
